"","Gene","Contrast","Estimate","Pr(>|t|)","FDR","TargetName","RTS_ID"
"9964","ZMAT1","normal - DKD",0.138545636655629,0.059083696398512,0.817127136204832,"ZMAT1","RTS0022454"
"9965","ZMAT2","normal - DKD",0.432623559367168,0.0055398933527478,0.489284672670484,"ZMAT2","RTS0036476"
"9966","ZMAT3","normal - DKD",-0.195649414552848,0.150357135532152,0.859280824330807,"ZMAT3","RTS0051919"
"9967","ZMIZ1","normal - DKD",0.18338481810383,0.299049545085038,0.882899559673926,"ZMIZ1","RTS0033366"
"9968","ZMIZ2","normal - DKD",-0.0291132863765342,0.884982547653329,0.978138788796815,"ZMIZ2","RTS0034986"
"9969","ZMPSTE24","normal - DKD",0.337122201783904,0.085470148326314,0.820195557402506,"ZMPSTE24","RTS0029547"
"9970","ZMYM2","normal - DKD",0.116437057900965,0.324535431961375,0.883852033286481,"ZMYM2","RTS0027864"
"9971","ZMYM3","normal - DKD",0.0289869461682531,0.765748908736841,0.957829310369099,"ZMYM3","RTS0025112"
"9972","ZMYM4","normal - DKD",0.396150291291108,3.1551251017853e-09,3.98492300355484e-06,"ZMYM4","RTS0029003"
"9973","ZMYM5","normal - DKD",-0.100999214005182,0.286508106950004,0.882899559673926,"ZMYM5","RTS0023076"
"9974","ZMYND11","normal - DKD",0.309765069847484,0.0370538851909461,0.817127136204832,"ZMYND11","RTS0025551"
"9975","ZMYND19","normal - DKD",-0.139816529899847,0.506048831932867,0.91682039231748,"ZMYND19","RTS0036217"
"9976","ZNF10","normal - DKD",-0.0928503555984596,0.6883386816561,0.94466639578563,"ZNF10","RTS0031805"
"9977","ZNF106","normal - DKD",0.383093382804091,0.0540845264169342,0.817127136204832,"ZNF106","RTS0034088"
"9978","ZNF117","normal - DKD",-0.00429767061118395,0.990306410880345,0.999060573248682,"ZNF117","RTS0051921"
"9979","ZNF12","normal - DKD",0.0113447841674126,0.929319805427137,0.986852435709311,"ZNF12","RTS0030307"
"9980","ZNF121","normal - DKD",0.0709593700428397,0.656508385758926,0.939933145599548,"ZNF121","RTS0022313"
"9981","ZNF124","normal - DKD",-0.12361594218731,0.716326375227667,0.949108621754365,"ZNF124","RTS0027852"
"9982","ZNF131","normal - DKD",-0.0017508516998557,0.993359011221248,0.999089792178263,"ZNF131","RTS0027853"
"9983","ZNF134","normal - DKD",0.0872572825350733,0.704474802898077,0.94698238811699,"ZNF134","RTS0027855"
"9984","ZNF135","normal - DKD",-0.0526120686445408,0.75982963202833,0.95692490191183,"ZNF135","RTS0030409"
"9985","ZNF136","normal - DKD",-0.0353746686572403,0.791994490476602,0.965529962810761,"ZNF136","RTS0027856"
"9986","ZNF138","normal - DKD",-0.0664438080368873,0.815497530630255,0.970436697168168,"ZNF138","RTS0025976"
"9987","ZNF140","normal - DKD",0.577249743670961,0.0366029369320754,0.814410769795959,"ZNF140","RTS0027858"
"9988","ZNF141","normal - DKD",-0.05788700621392,0.775364502558556,0.960969264205,"ZNF141","RTS0039113"
"9989","ZNF142","normal - DKD",-0.172372972218637,0.291732502508186,0.882899559673926,"ZNF142","RTS0039183"
"9990","ZNF146","normal - DKD",0.140009165537997,0.259491294867013,0.882196078324191,"ZNF146","RTS0050036"
"9991","ZNF148","normal - DKD",0.109604016211672,0.122105832761226,0.838720145628433,"ZNF148","RTS0051923"
"9992","ZNF154","normal - DKD",0.0844680657553301,0.529938479498562,0.917427792540627,"ZNF154","RTS0023605"
"9993","ZNF160","normal - DKD",0.127270176612205,0.259110793098997,0.882196078324191,"ZNF160","RTS0035616"
"9994","ZNF165","normal - DKD",0.0997274186324643,0.65710240251745,0.939933145599548,"ZNF165","RTS0027862"
"9995","ZNF17","normal - DKD",-0.0573233398848896,0.696855505932821,0.94698238811699,"ZNF17","RTS0030308"
"9996","ZNF174","normal - DKD",0.0365416680374714,0.871076531450939,0.977025132685068,"ZNF174","RTS0051924"
"9997","ZNF175","normal - DKD",-0.182229995085666,0.0719698744533159,0.817127136204832,"ZNF175","RTS0030418"
"9998","ZNF177","normal - DKD",-0.0543014669539344,0.809978545135398,0.970245787794672,"ZNF177","RTS0025152"
"9999","ZNF185","normal - DKD",0.341822256970548,0.161605866482096,0.862239995635192,"ZNF185","RTS0030421"
"10000","ZNF195","normal - DKD",0.0573897472317094,0.58752501612057,0.924676197786931,"ZNF195","RTS0030422"
"10001","ZNF197","normal - DKD",0.0652767372201889,0.614440342320566,0.930308561969089,"ZNF197","RTS0022747"
"10002","ZNF207","normal - DKD",0.269654790849068,0.25314530833739,0.876619682056203,"ZNF207","RTS0027866"
"10003","ZNF208","normal - DKD",0.364506838966457,0.303699200436693,0.883566944410122,"ZNF208","RTS0026328"
"10004","ZNF211","normal - DKD",-0.0951458042618951,0.467754642592394,0.908161694795725,"ZNF211","RTS0025905"
"10005","ZNF213","normal - DKD",-0.245872657547078,0.230351985096298,0.876619682056203,"ZNF213","RTS0024263"
"10006","ZNF214","normal - DKD",-0.0888352092264377,0.626913908922563,0.932793335482537,"ZNF214","RTS0030837"
"10007","ZNF217","normal - DKD",-0.174514230045675,0.377649025927045,0.894170600374308,"ZNF217","RTS0030018"
"10008","ZNF22","normal - DKD",0.152641042217983,0.175119530554181,0.869434315686624,"ZNF22","RTS0030310"
"10009","ZNF226","normal - DKD",0.0173995822676748,0.794369621391531,0.966302313567883,"ZNF226","RTS0022895"
"10010","ZNF234","normal - DKD",0.0341608906662368,0.774588804640245,0.960969264205,"ZNF234","RTS0030088"
"10011","ZNF235","normal - DKD",-0.0939763615162658,0.627981287108952,0.932793335482537,"ZNF235","RTS0028392"
"10012","ZNF24","normal - DKD",0.256618872795927,0.258272355886107,0.882196078324191,"ZNF24","RTS0030311"
"10013","ZNF248","normal - DKD",0.115578611114378,0.384969161692485,0.894170600374308,"ZNF248","RTS0033715"
"10014","ZNF25","normal - DKD",0.0319453129833039,0.860755526553343,0.974333605617569,"ZNF25","RTS0036518"
"10015","ZNF253","normal - DKD",-0.0658578876169544,0.663485262301134,0.940751638903238,"ZNF253","RTS0051930"
