""	"RTS_ID"	"TargetName"	"Module"	"CodeClass"	"ProbeID"	"Negative"
"RTS0021080"	"RTS0021080"	"NAGA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35793"	FALSE
"RTS0021081"	"RTS0021081"	"NAGLU"	"TAP_H_WTA_v1.0"	"Endogenous"	"35794"	FALSE
"RTS0021082"	"RTS0021082"	"PTCH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35795"	FALSE
"RTS0021083"	"RTS0021083"	"NCF1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35796"	FALSE
"RTS0021084"	"RTS0021084"	"NDP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35797"	FALSE
"RTS0021085"	"RTS0021085"	"NF1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35798"	FALSE
"RTS0021087"	"RTS0021087"	"PNP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35799"	FALSE
"RTS0021088"	"RTS0021088"	"NPC1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35800"	FALSE
"RTS0021089"	"RTS0021089"	"GPR143"	"TAP_H_WTA_v1.0"	"Endogenous"	"35801"	FALSE
"RTS0021090"	"RTS0021090"	"OAT"	"TAP_H_WTA_v1.0"	"Endogenous"	"35802"	FALSE
"RTS0021091"	"RTS0021091"	"OCA2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35803"	FALSE
"RTS0021092"	"RTS0021092"	"OCRL"	"TAP_H_WTA_v1.0"	"Endogenous"	"35804"	FALSE
"RTS0021093"	"RTS0021093"	"PAH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35805"	FALSE
"RTS0021094"	"RTS0021094"	"PAX2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35806"	FALSE
"RTS0021095"	"RTS0021095"	"PAX6"	"TAP_H_WTA_v1.0"	"Endogenous"	"35807"	FALSE
"RTS0021096"	"RTS0021096"	"PCBD1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35808"	FALSE
